# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 1.0059982319868765,2.319127614807752,2.7361307451520425,-179.51748746209435,0.5029991159934379,0.49999999999998873,-0.06108079509145471,180.00000000000003,-1.7693350904325817,-2.912208742249502e-12
 1.0157577348061868,2.3141949441661724,2.736090690729763,-179.53475529289773,0.5078788674030931,0.5,-0.06054059650105304,180.0,-1.770587045390645,0.0
 1.0254187134496018,2.309265154443685,2.736052131579037,-179.55186089652955,0.5127093567248007,0.5000000000000115,-0.06001360661404217,180.0,-1.7717609739458249,2.971543055315315e-12
 1.0349833433073334,2.3043385482025665,2.736015054544981,-179.56880713444176,0.5174916716536666,0.5000000000000117,-0.05949957145691673,180.00000000000003,-1.7728682433768521,-3.0011256587478462e-12
 1.0444536929901462,2.2994154280050974,2.7359794464727147,-179.58559681664806,0.522226846495073,0.5,-0.05899824648542652,180.0,-1.7739197085246223,0.0
 1.0538317310475684,2.294496096413556,2.735945294207356,-179.60223270318542,0.5269158655237841,0.5,-0.05850939380247667,180.0,-1.7749257655189652,0.0
 1.063119332153605,2.2895808559902218,2.735912584594023,-179.61871750568838,0.5315596660768024,0.5,-0.05803278928731892,180.0,-1.7758963778265606,0.0
 1.0723182828104578,2.2846700092973737,2.735881304477834,-179.63505388883968,0.5361591414052289,0.5000000000000121,-0.05756821491528081,180.0,-1.7768411111247573,0.0
 1.0814302866151675,2.27976385889729,2.735851440703907,-179.65124447180463,0.5407151433075837,0.5,-0.057115458820283675,180.0,-1.7777691703002079,0.0
 1.0904569691292434,2.2748627073522507,2.7358229801173617,-179.66729182968825,0.5452284845646217,0.5,-0.05667432162247523,180.0,-1.7786894099707338,0.0
 1.0993998823871003,2.2699668572245337,2.735795909563315,-179.68319849479425,0.5496999411935501,0.5,-0.05624461265441121,180.0,-1.779610389515477,0.0
 1.108260509075331,2.2650766110764193,2.7357702158868853,-179.69896695810627,0.5541302545376655,0.5,-0.05582614593969596,180.0,-1.7805403727580307,0.0
 1.1170402664115937,2.2601922714701854,2.735745885933192,-179.71459967050652,0.5585201332057969,0.5,-0.05541874559897814,180.0,-1.7814873632864041,0.0
 1.1257405097489146,2.255314140968111,2.735722906547352,-179.73009904406945,0.5628702548744573,0.5,-0.05502224183151694,180.0,-1.7824591314958704,0.0
 1.1343625359286806,2.250442522132475,2.7357012645744843,-179.7454674533656,0.5671812679643403,0.5,-0.05463647323467777,180.0,-1.7834632247647708,0.0
 1.1429075864032785,2.245577717525557,2.7356809468597074,-179.76070723664077,0.5714537932016391,0.499999999999987,-0.05426128817475198,180.0,-1.7845069961765356,0.0
 1.151376850147302,2.240720029709636,2.7356619402481392,-179.77582069704448,0.575688425073651,0.5000000000000131,-0.05389653950092692,180.0,-1.7855976235254927,3.3857068222433203e-12
 1.1597714663744603,2.2358697612469904,2.7356442315848986,-179.7908101038301,0.5798857331872301,0.5,-0.053542088009494726,180.00000000000003,-1.7867421210156331,-3.4156353920402437e-12
 1.1680925270756808,2.2310272146998993,2.735627807715103,-179.8056776934765,0.5840462635378405,0.5000000000000133,-0.053197802698696055,180.0,-1.7879473696003165,0.0
 1.176341079392492,2.2261926926306415,2.7356126554838713,-179.8204256708943,0.5881705396962461,0.5,-0.0528635552212845,180.0,-1.7892201170345554,0.0
 1.1845181278384505,2.2213664976014966,2.7355987617363215,-179.83505621047183,0.5922590639192253,0.5,-0.05253923280548466,180.0,-1.790567013405816,0.0
 1.1926246363802537,2.216548932174743,2.7355861133175723,-179.84957145726065,0.5963123181901271,0.5000000000000137,-0.05222471990614907,180.0,-1.79199461106508,-3.5364046606902952e-12
 1.200661530389113,2.21174029891266,2.7355746970727424,-179.86397352801424,0.6003307651945567,0.5,-0.0519199135295603,179.99999999999997,-1.7935093857354547,3.566906362232861e-12
 1.20862969847206,2.206940900377527,2.735564499846949,-179.8782645122581,0.6043148492360303,0.5000000000000139,-0.05162471891291938,180.0,-1.7951177601592077,0.0
 1.216529994192005,2.2021510391316217,2.7355555084853105,-179.8924464734155,0.6082649970960028,0.5,-0.051339041194870906,180.0,-1.796826102880048,0.0
 1.2243632376846059,2.197371017737224,2.735547709832946,-179.90652144979322,0.6121816188423033,0.5,-0.05106279896700763,180.0,-1.7986407510687779,-3.6593001757803925e-12
 1.2321302171793511,2.192601138756613,2.7355410907349733,-179.92049145562518,0.6160651085896759,0.5,-0.05079591227382995,179.99999999999997,-1.800568030834198,3.6904250004461036e-12
 1.2398316904316102,2.187841704752067,2.7355356380365112,-179.93435848215353,0.6199158452158054,0.5,-0.05053831275416111,180.0,-1.8026142546639614,3.72172871216439e-12
 1.247468386071867,2.183093018285865,2.735531338582678,-179.9481244985732,0.6237341930359338,0.5,-0.050289935118598084,180.00000000000003,-1.804785750917546,-3.753220670233001e-12
 1.2550410048778482,2.178355381920287,2.7355281792185906,-179.96179145309134,0.6275205024389244,0.5,-0.050050721095296395,180.0,-1.8070888734886872,0.0
 1.2625502209747945,2.173629098217611,2.735526146789369,-179.97536127394878,0.6312751104873976,0.5,-0.04982062234090995,180.0,-1.8095300046321747,0.0
 1.2699966829686928,2.1689144697401157,2.7355252281401303,-179.98883587035508,0.6349983414843469,0.5000000000000149,-0.0495995928408736,180.0,-1.8022024431978128,0.0
 1.2774216330565316,2.1642117990500815,2.7355254101159936,179.997782866456,0.6317228183676414,-0.4411508599997707,-0.04938759431642411,180.0,-1.7846478731703148,0.0
 1.284868370533898,2.159521388709786,2.7355266795620774,179.98449306225498,0.6279994496289583,-0.5,-0.04918459654035176,180.0,-1.7668521236476784,0.0
 1.292339399508024,2.154843541281508,2.7355290233234992,179.9712928588462,0.6242639351418953,-0.5,-0.04899057906295142,180.0,-1.749428958006892,0.0
 1.2998346714733726,2.1501785593275278,2.735532428245378,179.9581804130219,0.6205162991592208,-0.5000000000000148,-0.0488055204038353,180.0,-1.7323725108165042,0.0
 1.3073541381655962,2.1455267454101237,2.7355368811728313,179.94515389562827,0.616756565813109,-0.5,-0.0486294134915195,180.0,-1.715677147191734,0.0
