# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.081067409998068,4.693278104504927,0.0037609491468859864,0,0.5,0.029930068675192645,180.0,0.0,0.0
 0.12897190230333336,2.0852258478850443,4.693278377468722,0.0037609491468859864,0.06448595115166668,0.5,0.029930068675192645,180.0,0.13244292827365275,0.0
 0.18342687067315303,2.0894787641323496,4.693279191975147,0.010973124616834043,0.09171343533657651,0.5,0.027666063245631825,180.0,0.16046523273293056,0.0
 0.2259013457808767,2.0938252642080286,4.693280541446761,0.017788801150203988,0.11295067289043835,0.5,0.025620152416803488,180.0,0.1772814269961085,0.0
 0.26227500281715815,2.0982644535801263,4.693282419306123,0.024237174974663007,0.13113750140857908,0.5,0.02376649170795443,180.0,0.1877268557947757,0.0
 0.2948086094244541,2.1027954377166878,4.693284818975791,0.03034460665071481,0.14740430471222704,0.5,0.02208283873188163,180.0,0.1940171608525958,0.0
 0.32465313388871503,2.107417322085757,4.693287733878328,0.03613495655426656,0.16232656694435751,0.5,0.020549963310159382,180.0,0.19741700415723085,0.0
 0.35248719494077807,2.112129212155379,4.693291157436288,0.0416298735006943,0.17624359747038904,0.5,0.01915121352628458,180.0,0.19873190779257552,1.0822217478135153e-12
 0.3787495662965804,2.1169302133935988,4.6932950830722335,0.046849044663389995,0.1893747831482902,0.5,0.017872077022704668,180.00000000000003,0.19850974902153498,-1.1371837678454047e-12
 0.40374263270681765,2.1218194312684613,4.693299504208723,0.051810412003764746,0.20187131635340883,0.5,0.016699904929695194,180.0,0.1971396281503027,0.0
 0.4276847940623596,2.126795971248011,4.693304414268316,0.05653036079051083,0.2138423970311798,0.5,0.015623622271672374,180.0,0.19490635642207996,0.0
 0.45073957532908454,2.1318589388002924,4.69330980667357,0.061023884205316216,0.22536978766454227,0.5,0.014633501116699053,180.0,0.1920230355737543,0.0
 0.4730329592290209,2.1370074393933516,4.693315674847046,0.06530472745499305,0.23651647961451044,0.5,0.013720978467087476,180.0,0.18865174110884156,0.0
 0.4946642823912554,2.142240578495232,4.693322012211302,0.06938551423203661,0.2473321411956277,0.5,0.012878485353258714,180.0,0.18491728268056978,1.3502571311996398e-12
 0.5157133913155332,2.147557461573978,4.6933288121888985,0.07327785825716138,0.2578566956577666,0.5,0.012099343688037853,180.00000000000003,0.18091667219295454,-1.384255758141025e-12
 0.5362455142727623,2.1529571940976364,4.693336068202393,0.07699246161563984,0.2681227571363812,0.5,0.011377602270037984,180.0,0.17672584779572262,0.0
 0.5563146798232848,2.15843888153425,4.6933437736743455,0.08053920191210863,0.2781573399116424,0.5,0.010707983013540789,180.0,0.17240454231807356,0.0
 0.5759661779383075,2.1640016293518647,4.693351922027315,0.08392720945049362,0.28798308896915376,0.5,0.010085783315304813,180.0,0.1679999029993456,0.0
 0.5952383715079571,2.169644543018525,4.69336050668386,0.08716493610077936,0.29761918575397855,0.5,0.009506783083583778,180.0,0.16354919286895703,-1.5017533431199853e-12
 0.614164055649506,2.1753667280022753,4.693369521066542,0.09026021646662251,0.30708202782475297,0.49999999999999706,0.008967228078101028,179.99999999999997,0.15908186585199172,1.5274379623569394e-12
 0.6327714951205975,2.181167289771161,4.693378958597917,0.09322032265641174,0.3163857475602987,0.5,0.008463724540436899,180.0,0.1546211611720547,0.0
 0.6510852280344953,2.1870453337932263,4.693388812700546,0.0960520133049535,0.3255426140172476,0.5,0.00799324655670129,180.0,0.15018534185497837,0.0
 0.6691266969137084,2.192999965536517,4.693399076796989,0.09876157747614406,0.3345633484568541,0.49999999999999695,0.007553051833280771,180.0,0.14578867228000542,0.0
 0.6869147501648585,2.199030290469076,4.693409744309802,0.10135487414207527,0.3434573750824291,0.4999999999999969,0.007140671331422857,180.0,0.14144219810467298,1.6193511540212202e-12
 0.7044660449287066,2.20513541405895,4.693420808661547,0.10383736785305697,0.35223302246435306,0.49999999999999684,0.006753871058213132,180.00000000000003,0.1371543483124557,-1.6400929010665668e-12
 0.7217953739026453,2.211314441774183,4.693432263274783,0.1062141606751697,0.3608976869513224,0.5,0.006390631282321842,180.0,0.13293144034857082,-1.6600923766299626e-12
 0.7389159328730448,2.2175664790828193,4.693444101572068,0.10849002123867756,0.36945796643652223,0.5000000000000032,0.006049126613328714,179.99999999999997,0.12877807499327787,0.0
 0.7558395415187132,2.223890631452905,4.693456316975961,0.11066941098200633,0.3779197707593565,0.5000000000000033,0.005727673622175197,179.99999999999997,0.12469745346041713,3.396214925814386e-12
 0.7725768270269846,2.2302860043524833,4.6934689029090215,0.11275650786272771,0.3862884135134922,0.5,0.005424770610238317,180.00000000000003,0.12069164894433534,-1.7162297156014888e-12
 0.7891373778507087,2.2367517032496003,4.69348185279381,0.11475522804906944,0.39456868892535424,0.5,0.0051390367666919266,180.0,0.11676180500310893,0.0
 0.8055298732921419,2.2432868336123,4.693495160052884,0.11666924540531641,0.4027649366460708,0.5,0.004869195500869232,180.0,0.11290832657312883,0.0
 0.8217621933673621,2.249890500908627,4.693508818108803,0.11850200950140893,0.41088109668368095,0.5,0.004614113866341973,180.0,0.10913101039099013,0.0
 0.8378415124700213,2.2565618106066276,4.693522820384127,0.12025676184148128,0.4189207562350105,0.5,0.004372733412346713,180.0,0.10542916758156934,0.0
